name,description,pulls,tags,updated,capabilities,size_variants,url,parameter_sizes,context_window,model_type,license_info,base_model,performance_benchmarks,hardware_requirements,specialty_domain,release_info,quantization_support
deepseek-r1,"DeepSeek-R1 is a family of open reasoning models with performance approaching that of leading models, such as O3 and Gemini 2.5 Pro.",53.4M,35,2 weeks ago,tools;thinking,,https://ollama.com/library/deepseek-r1,671b,128K; 160K,Vision; Code; Math,Apache 2.0; MIT License; mit,Qwen-2; Llama3,N/A,5.2GB; 1.1GB; 4.7GB; 9.0GB; 20GB; 43GB,coding; math; reasoning; scientific,3,No
gemma3n,"Gemma 3n models are designed for efficient execution on everyday devices such as laptops, tablets or phones.",175.8K,9,2 weeks ago,,,https://ollama.com/library/gemma3n,4b; 4B,32K,Vision; Code; Math,mit; cc,N/A,N/A,"7.5GB; 5.6GB; 64.9


MB",coding; math; reasoning; scientific,1; 5; 2.2,Yes
gemma3,"The current, most capable model that runs on a single GPU.",8.8M,21,2 months ago,vision,,https://ollama.com/library/gemma3,27b; 1B; 4B; 12B; 27B,32K; 128K,Vision; Code; Math,mit,Gemini; Gemini,HellaSwag:10; BoolQ:0; PIQA:0; WinoGrande:5; DROP:3; MMLU:5; MATH:4; GSM8K:5,"3.3GB; 815MB; 8.1GB; 17GB; 43.9


MB",coding; math; reasoning; scientific,1; 3; 2,Yes
qwen3,"Qwen3 is the latest generation of large language models in Qwen series, offering a comprehensive suite of dense and mixture-of-experts (MoE) models.",3.6M,35,1 month ago,tools;thinking,,https://ollama.com/library/qwen3,235b; 0.6B; 1.7B; 4B; 8B; 14B; 32B,40K,Vision; Code; Math,N/A,N/A,N/A,5.2GB; 523MB; 1.4GB; 2.6GB; 9.3GB; 19GB,coding; math; reasoning; translation,N/A,Yes
qwen2.5vl,Flagship vision-language model of Qwen and also a significant leap from the previous Qwen2-VL.,361.1K,17,1 month ago,vision,,https://ollama.com/library/qwen2.5vl,72b; 7B,125K,Vision; Math; Text,cc,N/A,N/A,6.0GB; 3.2GB; 21GB; 49GB,math; finance; translation; vision,N/A,No
llama3.1,"Llama 3.1 is a new state-of-the-art model from Meta available in 8B, 70B and 405B parameter sizes.",97.9M,93,7 months ago,tools,,https://ollama.com/library/llama3.1,405b; 70B; 405B,128K,Vision; Code; Math,N/A,N/A,N/A,4.9GB; 43GB; 243GB,coding; math; reasoning; translation,N/A,No
nomic-embed-text,A high-performing open embedding model with a large token context window.,32.9M,3,1 year ago,embedding,,https://ollama.com/library/nomic-embed-text,N/A,2K,Embedding; Vision; Code,N/A,N/A,N/A,274MB,coding; vision; embedding; function_calling,1; 1.5,No
llama3.2,Meta's Llama 3.2 goes small with 1B and 3B models.,25.2M,63,9 months ago,tools,,https://ollama.com/library/llama3.2,3b; 1B; 3B,128K,Vision; Chat; Text,N/A,,N/A,2.0GB; 1.3GB,translation; summarization; chat; vision,N/A,Yes
mistral,"The 7B model released by Mistral AI, updated to version 0.3.",16.6M,84,3 days ago,tools,,https://ollama.com/library/mistral,7b; 7B,32K,Vision; Code; Chat,Apache license,N/A,N/A,4.4GB,coding; chat; vision; function_calling,0.1; 0.3; 0.2,No
qwen2.5,"Qwen2.5 models are pretrained on Alibaba's latest large-scale dataset, encompassing up to 18 trillion tokens. The model supports up to 128K tokens and has multilingual support.",11.2M,133,10 months ago,tools,,https://ollama.com/library/qwen2.5,72b; 72B,32K; 128K,Vision; Math; Chat,Apache 2.0,N/A,N/A,4.7GB; 398MB; 986MB; 1.9GB; 9.0GB; 20GB,coding; math; translation; chat,N/A,No
llama3,Meta Llama 3: The most capable openly available LLM to date,9.3M,68,1 year ago,,,https://ollama.com/library/llama3,70b; 70B,8K,Vision; Chat; Text,N/A,N/A,N/A,4.7GB; 40GB,chat; vision; function_calling,N/A,Yes
llava,LLaVA is a novel end-to-end trained large multimodal model that combines a vision encoder and Vicuna for general-purpose visual and language understanding. Updated to version 1.6.,7.7M,98,1 year ago,vision,,https://ollama.com/library/llava,34b,32K; 4K,Vision; Code; Reasoning,CC; cc,N/A,N/A,4.7GB; 8.0GB; 20GB; 93TB,coding; reasoning; translation; chat,2; 359; 9,No
gemma2,"Google Gemma 2 is a high-performing and efficient model available in three sizes: 2B, 9B, and 27B.",6M,94,11 months ago,,,https://ollama.com/library/gemma2,27b; 2B; 9B; 27B,8K,Vision; Code; Chat,N/A,N/A,N/A,5.4GB; 1.6GB; 16GB,coding; scientific; translation; summarization,N/A,Yes
qwen2.5-coder,"The latest series of Code-Specific Qwen models, with significant improvements in code generation, code reasoning, and code fixing.",5.7M,199,1 month ago,tools,,https://ollama.com/library/qwen2.5-coder,32b; 7B; 32B,32K,Vision; Code; Reasoning,cc,N/A,N/A,4.7GB; 398MB; 986MB; 1.9GB; 9.0GB; 20GB,coding; reasoning; translation; chat,N/A,Yes
phi3,Phi-3 is a family of lightweight 3B (Mini) and 14B (Medium) state-of-the-art open models by Microsoft.,5.6M,72,11 months ago,,,https://ollama.com/library/phi3,14b; 3B; 3.8B; 14B,128K; 4K,Vision; Code; Math,mit; MIT license; commercial,,N/A,2.2GB; 7.9GB,coding; math; reasoning; legal,0.1.39,No
gemma,"Gemma is a family of lightweight, state-of-the-art open models built by Google DeepMind. Updated to version 1.1",5M,102,1 year ago,,,https://ollama.com/library/gemma,7b,8K,Vision; Code; Math,N/A,content; content,N/A,5.0GB; 1.7GB,coding; math; reasoning; translation,1.1,No
qwen,Qwen 1.5 is a series of large language models by Alibaba Cloud spanning from 0.5B to 110B parameters,4.8M,379,1 year ago,,,https://ollama.com/library/qwen,14b; 72b; 110b; 110B,32K; 8K,Vision; Code; Math,N/A,Chinese; Chinese,N/A,2.3GB; 395MB; 1.1GB; 4.5GB; 8.2GB; 18GB,coding; math; reasoning; translation,N/A,Yes
qwen2,Qwen2 is a new series of large language models from Alibaba group,4.2M,97,10 months ago,tools,,https://ollama.com/library/qwen2,72b; 72B,32K; 128K,Embedding; Vision; Text,Apache 2.0,data; data,N/A,4.4GB; 352MB; 935MB; 41GB,translation; vision; embedding; function_calling,N/A,No
mxbai-embed-large,State-of-the-art large embedding model from mixedbread.ai,4.2M,4,1 year ago,embedding,,https://ollama.com/library/mxbai-embed-large,335m,N/A,Embedding; Vision; Text,commercial,N/A,N/A,670MB,vision; embedding; function_calling,1,No
llama2,Llama 2 is a collection of foundation language models ranging from 7B to 70B parameters.,3.8M,102,1 year ago,,,https://ollama.com/library/llama2,7b; 13b; 70b; 70B,4K,Vision; Chat; Text,cc,over; over,N/A,3.8GB; 7.4GB; 39GB; 8GB; 16GB; 64GB,translation; chat; vision; function_calling,N/A,Yes
phi4,"Phi-4 is a 14B parameter, state-of-the-art open model from Microsoft.",3.3M,5,6 months ago,,,https://ollama.com/library/phi4,14b; 14B,16K,Vision; Code; Reasoning,mit; cc,N/A,N/A,9.1GB,coding; reasoning; legal; scientific,N/A,No
codellama,A large language model that can use text prompts to generate and discuss code.,2.5M,199,12 months ago,,,https://ollama.com/library/codellama,70b,16K; 2K,Vision; Code; Text,cc,100B; 100B,N/A,3.8GB; 7.4GB; 19GB; 39GB,coding; scientific; translation; vision,N/A,Yes
tinyllama,The TinyLlama project is an open endeavor to train a compact 1.1B Llama model on 3 trillion tokens.,2.4M,36,1 year ago,,,https://ollama.com/library/tinyllama,1.1b; 1.1B,2K,Vision; Chat; Text,N/A,N/A,N/A,638MB,chat; vision,0.6,No
minicpm-v,A series of multimodal LLMs (MLLMs) designed for vision-language understanding.,2.3M,17,8 months ago,vision,,https://ollama.com/library/minicpm-v,8b; 8B,32K,Vision; Code; Math,proprietary,SigLip-400M; SigLip-400M,N/A,5.5GB,coding; math; reasoning; translation,0.3.10,No
llama3.2-vision,Llama 3.2 Vision is a collection of instruction-tuned image reasoning generative models in 11B and 90B sizes.,2.2M,9,1 month ago,vision,,https://ollama.com/library/llama3.2-vision,90b; 90B,128K,Vision; Code; Reasoning,N/A,,N/A,7.8GB; 55GB,coding; reasoning; translation; chat,N/A,Yes
llama3.3,New state of the art 70B model. Llama 3.3 70B offers similar performance compared to the Llama 3.1 405B model.,2.2M,14,7 months ago,tools,,https://ollama.com/library/llama3.3,70b; 70B; 405B,128K,Vision; Code; Chat,mit; commercial; cc,,N/A,43GB,coding; legal; scientific; translation,N/A,Yes
mistral-nemo,"A state-of-the-art 12B model with 128k context length, built by Mistral AI in collaboration with NVIDIA.",2.1M,17,11 months ago,tools,,https://ollama.com/library/mistral-nemo,12b; 12B,1000K; 128K,Vision; Reasoning; Text,cc,N/A,N/A,7.1GB,coding; reasoning; vision; function_calling,N/A,No
dolphin3,"Dolphin 3.0 Llama 3.1 8B 🐬 is the next generation of the Dolphin series of instruct-tuned models designed to be the ultimate general purpose local model, enabling coding, math, agentic, function calling, and general use cases.",1.9M,5,6 months ago,,,https://ollama.com/library/dolphin3,8b,128K,Vision; Math; Chat,N/A,N/A,N/A,4.9GB,coding; math; chat; vision,N/A,No
olmo2,"OLMo 2 is a new family of 7B and 13B models trained on up to 5T tokens. These models are on par with or better than equivalently sized fully open models, and competitive with open-weight models such as Llama 3.1 on English academic benchmarks.",1.9M,9,6 months ago,,,https://ollama.com/library/olmo2,13b; 13B,4K,Vision; Text,N/A,,N/A,4.5GB; 8.4GB,scientific; vision,0.5.5,No
deepseek-v3,A strong Mixture-of-Experts (MoE) language model with 671B total parameters with 37B activated for each token.,1.8M,5,6 months ago,,,https://ollama.com/library/deepseek-v3,671b,4K,Vision; Text,cc,N/A,N/A,404GB,translation; vision,3; 3.; 0.5.5,No
bge-m3,"BGE-M3 is a new model from BAAI distinguished for its versatility in Multi-Functionality, Multi-Linguality, and Multi-Granularity.",1.6M,3,11 months ago,embedding,,https://ollama.com/library/bge-m3,567m,8K,Embedding; Vision; Text,N/A,,N/A,1.2GB,translation; vision; embedding; function_calling,N/A,No
qwq,QwQ is the reasoning model of the Qwen series.,1.5M,8,4 months ago,tools,,https://ollama.com/library/qwq,32b,40K,Vision; Reasoning; Text,N/A,N/A,N/A,20GB,reasoning; translation; vision; function_calling,N/A,No
llava-llama3,A LLaVA model fine-tuned from Llama 3 Instruct with better scores in several benchmarks.,1.2M,4,1 year ago,vision,,https://ollama.com/library/llava-llama3,8b,8K,Vision; Text,cc,Llama; Llama,N/A,5.5GB,vision,1,No
mistral-small,Mistral Small 3 sets a new benchmark in the “small” Large Language Models category below 70B.,1.2M,21,5 months ago,tools,,https://ollama.com/library/mistral-small,24b; 24B,32K; 128K,Vision; Code; Math,proprietary; Apache 2.0; commercial,gpt-4o-2024-05-13; gpt-4o-2024-05-13,N/A,14GB; 13GB; 32GB,coding; math; reasoning; medical,N/A,Yes
llama2-uncensored,Uncensored Llama 2 model by George Sung and Jarrad Hope.,1.2M,34,1 year ago,,,https://ollama.com/library/llama2-uncensored,7b; 70b,2K,Vision; Chat; Text,N/A,N/A,N/A,3.8GB; 39GB; 8GB; 64GB,chat; vision; function_calling,N/A,No
smollm2,"SmolLM2 is a family of compact language models available in three size: 135M, 360M, and 1.7B parameters.",1.2M,49,8 months ago,tools,,https://ollama.com/library/smollm2,1.7b; 1.7B,8K,Vision; Text,N/A,N/A,N/A,1.8GB; 271MB; 726MB,translation; vision; function_calling,N/A,No
mixtral,A set of Mixture of Experts (MoE) model with open weights by Mistral AI in 8x7b and 8x22b parameter sizes.,1.1M,70,6 months ago,tools,,https://ollama.com/library/mixtral,22b,32K; 64K,Vision; Math; Text,N/A,N/A,N/A,26GB; 80GB,coding; math; translation; vision,0.1,No
starcoder2,"StarCoder2 is the next generation of transparently trained open code LLMs that comes in three sizes: 3B, 7B and 15B parameters.",1M,67,10 months ago,,,https://ollama.com/library/starcoder2,15b; 15B,16K,Vision; Code; Text,N/A,,N/A,1.7GB; 4.0GB; 9.1GB,coding; translation; vision,N/A,No
